Keepwell Health Union - Economic Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonprofit Healthcare Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cells formatted like this: ,,are input variables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff Role,Annual Salary,Benefits (30%),Overhead/Staff,Total Annual Cost,Monthly Cost,Member Capacity,Cost per Member at Capacity,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Care Physician,"$220,000","$66,000","$15,000","$301,000","$25,083",500,"$50.17",1 PCP per 500 members,,,,,,,,,,,,,,,,,,,,,,,,,,
Mental Health Therapist,"$85,000","$25,500","$12,000","$122,500","$10,208",150,"$68.06",1 therapist per 150 members,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychiatrist (Part-time),"$120,000","$36,000","$8,000","$164,000","$13,667",800,"$17.08","Part-time 0.5 FTE per 800 members",,,,,,,,,,,,,,,,,,,,,,,,,,
Nurse Practitioner / PA,"$110,000","$33,000","$12,000","$155,000","$12,917",400,"$32.29",1 NP/PA per 400 members,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Assistant / Nurse,"$50,000","$15,000","$8,000","$73,000","$6,083",300,"$20.28",1 MA per 300 members,,,,,,,,,,,,,,,,,,,,,,,,,,
Care Navigator / Advocate,"$55,000","$16,500","$10,000","$81,500","$6,792",400,"$16.98",1 navigator per 400 members,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinic Operations Manager,"$75,000","$22,500","$12,000","$109,500","$9,125",N/A,N/A,1 per clinic location,,,,,,,,,,,,,,,,,,,,,,,,,,
Front Desk / Member Services,"$45,000","$13,500","$8,000","$66,500","$5,542",500,"$11.08",1 per 500 members,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive Director,"$95,000","$28,500","$15,000","$138,500","$11,542",N/A,N/A,"1 for organization (shared across locations if >2,000 members)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART 3: STAFFING REQUIREMENTS AT DIFFERENT SCALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member Count,PCPs,Therapists,Psychiatrist (FTE),NP/PAs,MAs,Navigators,Ops Mgr,Front Desk,Exec Dir,Total FTEs,Total Monthly Staff Cost,Staff Cost per Member,Facility Size (sq ft),Monthly Facility Cost,,,,,,,,,,,,,,,,,,,,,
250,1,2,0.3,1,1,1,1,1,1,9.3,"$107,875",$431,"2,000","$15,000",,,,,,,,,,,,,,,,,,,,,
500,1,4,0.6,2,2,2,1,1,1,14.6,"$158,583",$317,"3,000","$25,000",,,,,,,,,,,,,,,,,,,,,
750,2,5,0.9,2,3,2,1,2,1,18.9,"$207,458",$277,"4,000","$30,000",,,,,,,,,,,,,,,,,,,,,
1000,2,7,1.3,3,4,3,1,2,1,24.3,"$268,167",$268,"5,000","$35,000",,,,,,,,,,,,,,,,,,,,,
1500,3,10,1.9,4,5,4,1,3,1,32.9,"$367,042",$245,"6,500","$45,000",,,,,,,,,,,,,,,,,,,,,
2000,4,14,2.5,5,7,5,2,4,1,44.5,"$498,917",$249,"8,500","$60,000",,,,,,,,,,,,,,,,,,,,,
3000,6,20,3.8,8,10,8,2,6,1,64.8,"$730,667",$244,"12,000","$85,000",,,,,,,,,,,,,,,,,,,,,
5000,10,34,6.3,13,17,13,3,10,1,107.3,"$1,217,042",$243,"18,000","$125,000",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART 4: FULL COST STRUCTURE BY MEMBER SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member Count,Monthly Revenue,Annual Revenue,Staff Costs (Annual),Facility Costs (Annual),Lab/Diagnostics (est),Medical Supplies,IT Systems,Reinsurance Premium,Other Operating,Total Annual Costs,Annual Net Before Reserves,Monthly Net,Break-even?,,,,,,,,,,,,,,,,,,,,,
250,"$112,500","$1,350,000","$1,294,500","$180,000","$75,000","$50,000","$60,000","$135,000","$75,000","$1,869,500","($519,500)","($43,292)",No,,,,,,,,,,,,,,,,,,,,,
500,"$225,000","$2,700,000","$1,903,000","$300,000","$150,000","$75,000","$60,000","$270,000","$100,000","$2,858,000","($158,000)","($13,167)",No,,,,,,,,,,,,,,,,,,,,,
750,"$337,500","$4,050,000","$2,489,500","$360,000","$225,000","$100,000","$75,000","$405,000","$125,000","$3,779,500","$270,500","$22,542",Yes,,,,,,,,,,,,,,,,,,,,,
1000,"$450,000","$5,400,000","$3,218,000","$420,000","$300,000","$125,000","$90,000","$540,000","$150,000","$4,843,000","$557,000","$46,417",Yes,,,,,,,,,,,,,,,,,,,,,
1500,"$675,000","$8,100,000","$4,404,500","$540,000","$450,000","$175,000","$120,000","$810,000","$200,000","$6,699,500","$1,400,500","$116,708",Yes,,,,,,,,,,,,,,,,,,,,,
2000,"$900,000","$10,800,000","$5,987,000","$720,000","$600,000","$225,000","$150,000","$1,080,000","$250,000","$9,012,000","$1,788,000","$149,000",Yes,,,,,,,,,,,,,,,,,,,,,
3000,"$1,350,000","$16,200,000","$8,768,000","$1,020,000","$900,000","$325,000","$180,000","$1,620,000","$350,000","$13,163,000","$3,037,000","$253,083",Yes,,,,,,,,,,,,,,,,,,,,,
5000,"$2,250,000","$27,000,000","$14,604,500","$1,500,000","$1,500,000","$500,000","$240,000","$2,700,000","$500,000","$21,544,500","$5,455,500","$454,625",Yes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes on Reinsurance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reinsurance premium estimated at $540 per member per year (10% of member fee, covers catastrophic >$250k per member)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is conservative - actual rates may be lower with good utilization management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART 5: PILOT SCENARIO - LAUNCH TO 1000 MEMBERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumptions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Launch with 100 members (1-2 employer clients),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Add 50 new members per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- 2.5% monthly churn rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Staff hired as capacity thresholds are reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- $450/member/month fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Startup costs: $375k (covered by philanthropic capital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36
New Members Added,100,50,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30
Members at Start,0,100,148,195,240,283,325,365,403,441,478,513,548,583,617,651,684,717,750,783,815,847,879,911,943,975,"1,006","1,037","1,068","1,098","1,129","1,160","1,190","1,221","1,252","1,282"
Churn (members lost),0,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17,18,19,20,20,21,22,23,24,24,25,26,27,27,28,29,30,31,31,32
Members at End,100,148,195,240,283,325,365,403,441,478,513,548,583,617,651,684,717,750,783,815,847,879,911,943,975,"1,006","1,037","1,068","1,098","1,129","1,160","1,190","1,221","1,252","1,282","1,313"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Member Revenue,"$45,000","$66,375","$87,525","$107,775","$127,125","$145,800","$163,688","$180,900","$197,550","$213,525","$229,050","$243,900","$258,075","$271,800","$285,075","$297,900","$310,388","$322,425","$334,125","$345,375","$356,288","$366,750","$376,875","$386,550","$396,000","$404,888","$413,550","$421,875","$429,975","$437,738","$445,388","$452,700","$459,900","$466,875","$473,738","$480,375"
Member Acquisition Costs,"$20,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$8,000","$8,000","$8,000","$8,000","$8,000","$8,000","$8,000","$8,000","$8,000","$8,000","$8,000","$8,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff Costs (Monthly),"$107,875","$107,875","$107,875","$107,875","$107,875","$158,583","$158,583","$158,583","$158,583","$158,583","$158,583","$207,458","$207,458","$207,458","$207,458","$207,458","$207,458","$268,167","$268,167","$268,167","$268,167","$268,167","$268,167","$268,167","$268,167","$367,042","$367,042","$367,042","$367,042","$367,042","$367,042","$367,042","$367,042","$367,042","$367,042","$367,042"
Facility Costs,"$15,000","$15,000","$15,000","$15,000","$15,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$30,000","$30,000","$30,000","$30,000","$30,000","$30,000","$35,000","$35,000","$35,000","$35,000","$35,000","$35,000","$35,000","$35,000","$45,000","$45,000","$45,000","$45,000","$45,000","$45,000","$45,000","$45,000","$45,000","$45,000","$45,000"
Lab/Diagnostics,"$3,000","$4,438","$5,853","$7,200","$8,475","$9,738","$10,928","$12,068","$13,170","$14,235","$15,270","$16,260","$17,205","$18,120","$19,005","$19,860","$20,693","$21,495","$22,275","$23,025","$23,753","$24,450","$25,125","$25,770","$26,400","$26,993","$27,570","$28,125","$28,665","$29,183","$29,693","$30,180","$30,660","$31,125","$31,583","$32,025"
Medical Supplies,"$2,000","$2,959","$3,902","$4,800","$5,650","$6,492","$7,285","$8,045","$8,780","$9,490","$10,180","$10,840","$11,470","$12,080","$12,670","$13,240","$13,795","$14,330","$14,850","$15,350","$15,835","$16,300","$16,750","$17,180","$17,600","$17,995","$18,380","$18,750","$19,110","$19,455","$19,795","$20,120","$20,440","$20,750","$21,055","$21,350"
IT Systems,"$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$7,500","$7,500","$7,500","$7,500","$7,500","$7,500","$7,500","$7,500","$7,500","$7,500","$7,500","$7,500","$7,500","$7,500","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000"
Reinsurance (monthly),"$4,500","$6,638","$8,753","$10,778","$12,713","$14,580","$16,369","$18,090","$19,755","$21,353","$22,905","$24,390","$25,808","$27,180","$28,508","$29,790","$31,039","$32,243","$33,413","$34,538","$35,629","$36,675","$37,688","$38,655","$39,600","$40,489","$41,355","$42,188","$42,998","$43,774","$44,539","$45,270","$45,990","$46,688","$47,374","$48,038"
Other Operating,"$6,000","$6,000","$6,000","$6,000","$6,000","$8,000","$8,000","$8,000","$8,000","$8,000","$8,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$12,500","$12,500","$12,500","$12,500","$12,500","$12,500","$12,500","$12,500","$16,667","$16,667","$16,667","$16,667","$16,667","$16,667","$16,667","$16,667","$16,667","$16,667","$16,667"
Total Monthly Expenses,"$163,375","$168,909","$172,383","$176,653","$180,713","$247,393","$251,165","$254,785","$258,288","$261,660","$264,938","$316,448","$317,440","$320,338","$323,140","$325,848","$328,485","$399,235","$401,705","$404,080","$406,383","$408,593","$410,730","$412,773","$414,767","$530,185","$532,013","$533,772","$535,482","$537,120","$538,735","$540,278","$541,798","$543,271","$544,720","$546,121"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Net Income,"($138,375)","($112,534)","($94,858)","($78,878)","($63,588)","($111,593)","($97,477)","($83,885)","($70,738)","($58,135)","($45,888)","($82,548)","($67,365)","($56,538)","($46,065)","($35,948)","($26,097)","($84,810)","($75,580)","($66,705)","($58,095)","($49,843)","($41,855)","($34,223)","($24,767)","($131,297)","($124,463)","($117,897)","($111,507)","($105,382)","($99,347)","($93,578)","($87,898)","($82,396)","($76,982)","($71,746)"
Cumulative Net Income,"($138,375)","($250,909)","($345,767)","($424,645)","($488,233)","($599,827)","($697,304)","($781,189)","($851,927)","($910,062)","($955,950)","($1,038,498)","($1,105,863)","($1,162,401)","($1,208,466)","($1,244,414)","($1,270,511)","($1,355,321)","($1,430,901)","($1,497,606)","($1,555,701)","($1,605,544)","($1,647,399)","($1,681,622)","($1,706,389)","($1,837,686)","($1,962,149)","($2,080,046)","($2,191,554)","($2,296,936)","($2,396,283)","($2,489,861)","($2,577,759)","($2,660,155)","($2,737,137)","($2,808,883)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Cumulative loss of ~$2.8M after 36 months reaching 1300 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is covered by startup capital and early operating reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break-even occurs around month 40-42 at approximately 1100-1200 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After break-even surplus is reinvested into expanded services and reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART 6: EMPLOYER COST COMPARISON - 5 YEAR OUTLOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional Employer-Sponsored Insurance vs Keepwell Health Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per Employee Annual Comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Traditional Total Cost,Traditional Employer Share (75%),Traditional Employee Share (25%),Keepwell Total Cost,Keepwell Employer Share,Keepwell Employee Share,Annual Employer Savings,Cumulative Employer Savings,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 1,"$21,000","$15,750","$5,250","$5,400","$5,400",$0,"$10,350","$10,350",,,,,,,,,,,,,,,,,,,,,,,,,,
Year 2,"$22,470","$16,853","$5,618","$5,400","$5,400",$0,"$11,453","$21,803",,,,,,,,,,,,,,,,,,,,,,,,,,
Year 3,"$24,043","$18,032","$6,011","$5,400","$5,400",$0,"$12,632","$34,435",,,,,,,,,,,,,,,,,,,,,,,,,,
Year 4,"$25,726","$19,295","$6,431","$5,400","$5,400",$0,"$13,895","$48,330",,,,,,,,,,,,,,,,,,,,,,,,,,
Year 5,"$27,527","$20,645","$6,882","$5,400","$5,400",$0,"$15,245","$63,575",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 5-Year Cost:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional: $120766 per employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keepwell: $27000 per employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Savings: $93766 per employee over 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For a 200-employee company:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional 5-year cost: $24153200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keepwell 5-year cost: $5400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Savings: $18753200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART 7: KEY PERFORMANCE METRICS & BENCHMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Keepwell Target,Traditional Insurance,Advantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member Cost per Month,$450,"$700-$1,000",37-55% lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Care Access,Same day - 48 hours,2-4 weeks,10-20x faster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mental Health Access,Within 1 week,4-12 weeks,4-12x faster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Authorization Required,Never (for covered services),Frequently,Eliminates friction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Deductible,$0,"$1,500-$5,000",100% reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out-of-Pocket Maximum,$0,"$6,000-$14,000",100% reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surprise Billing,Never,Common,Complete protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider Continuity,High (same care team),Low (network changes),Stable relationships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Care Coordination,Included always,Rare,Built-in advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preventive Care Utilization,Target: 90%+,Typical: 30-40%,3x higher engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member Satisfaction Target,>85%,50-60%,Significantly higher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART 8: SENSITIVITY ANALYSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break-Even Member Count at Different Fee Levels (Annual Operating Costs: $4.8M for 1000 members),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Fee,Annual Revenue per Member,Members Needed for Break-even,Margin at 1000 Members,Margin %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$400,"$4,800",1001,"($43,000)",-0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$425,"$5,100",942,"$257,000",5.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$450,"$5,400",889,"$557,000",10.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$475,"$5,700",842,"$857,000",15.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$500,"$6,000",800,"$1,157,000",19.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact of Churn Rate on Annual Member Loss (at 1000 members),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Churn Rate,Annual Member Loss,Annual Revenue Loss,Replacement Cost (at $200/member),Net Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.50%,171,"$925,200","$34,200","($891,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.00%,216,"$1,166,400","$43,200","($1,123,200)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.50%,259,"$1,398,600","$51,800","($1,346,800)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00%,300,"$1,620,000","$60,000","($1,560,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.50%,339,"$1,830,600","$67,800","($1,762,800)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Insight: Lower churn through employer groups is critical to sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART 9: STARTUP CAPITAL REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One-Time Startup Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Low Estimate,High Estimate,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal & Compliance,"$50,000","$75,000","Nonprofit formation, licensing, HIPAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinic Buildout,"$75,000","$125,000","Construction, exam rooms, signage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Equipment,"$75,000","$100,000","Exam tables, vitals, EKG, diagnostics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furniture & Fixtures,"$25,000","$40,000","Waiting room, offices, staff areas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT Systems Setup,"$25,000","$40,000","EHR, scheduling, security, devices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Launch Staffing,"$50,000","$75,000","Hiring, training, credentialing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Marketing,"$25,000","$40,000","Employer outreach, branding, materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Reserve (6 months),"$500,000","$750,000","Cash reserves for initial operating losses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Startup Capital Needed,"$825,000","$1,245,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recommended Target: $1000000 for safety margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources of Capital:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Philanthropic grants (healthcare foundations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Impact investors (loan or convertible note with restrictions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Forward commitments from anchor employer clients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Community development financial institutions (CDFIs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART 10: SUMMARY & RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Findings:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. At $450/member/month the model is financially sustainable at scale (>750 members),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Break-even occurs around 750-900 members depending on growth rate and churn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Employer saves $10000-$15000 per employee per year vs traditional insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Initial capital requirement: $1M (covers startup + 18-24 months operating losses),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Mental health staffing is critical - represents 20-30% of total staff FTEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
